ANO;MES;NM_MES;PRODUTO;ESTADO - SIGLA;NM_ESTADO;VL_MEDIO_VENDA
2022;2;FEVEREIRO;GASOLINA;SE;SERGIPE;6.49
2022;2;FEVEREIRO;GASOLINA;SP;SÃO PAULO;6.32
2022;2;FEVEREIRO;GASOLINA;TO;TOCANTINS;6.83
2022;2;FEVEREIRO;GASOLINA ADITIVADA;AC;ACRE;7.1
2022;2;FEVEREIRO;GASOLINA ADITIVADA;AL;ALAGOAS;6.7
2022;2;FEVEREIRO;GASOLINA ADITIVADA;AM;AMAZONAS;6.74
2022;2;FEVEREIRO;GASOLINA ADITIVADA;AP;AMAPÁ;6.25
2022;2;FEVEREIRO;GASOLINA ADITIVADA;BA;BAHIA;7.02
2022;2;FEVEREIRO;GASOLINA ADITIVADA;CE;CEARÁ;6.75
2022;2;FEVEREIRO;GASOLINA ADITIVADA;DF;DISTRITO FEDERAL;6.85
2022;2;FEVEREIRO;GASOLINA ADITIVADA;ES;ESPIRITO SANTO;6.91
2022;2;FEVEREIRO;GASOLINA ADITIVADA;GO;GOIÁS;6.93
2022;2;FEVEREIRO;GASOLINA ADITIVADA;MA;MARANHÃO;6.72
2022;2;FEVEREIRO;GASOLINA ADITIVADA;MG;MINAS GERAIS;7.1
2022;2;FEVEREIRO;GASOLINA ADITIVADA;MS;MATO GROSSO DO SUL;6.79
2022;2;FEVEREIRO;GASOLINA ADITIVADA;MT;MATO GROSSO;6.54
2022;2;FEVEREIRO;GASOLINA ADITIVADA;PA;PARÁ;7.04
2022;2;FEVEREIRO;GASOLINA ADITIVADA;PB;PARAÍBA;6.63
2022;2;FEVEREIRO;GASOLINA ADITIVADA;PE;PERNAMBUCO;6.68
2022;2;FEVEREIRO;GASOLINA ADITIVADA;PI;PIAUÍ;7.05
2022;2;FEVEREIRO;GASOLINA ADITIVADA;PR;PARANÁ;6.62
2022;2;FEVEREIRO;GASOLINA ADITIVADA;RJ;RIO DE JANEIRO;7.37
2022;2;FEVEREIRO;GASOLINA ADITIVADA;RO;RONDÔNIA;6.94
2022;2;FEVEREIRO;GASOLINA ADITIVADA;RR;RORAIMA;6.6
2022;2;FEVEREIRO;GASOLINA ADITIVADA;RS;RIO GRANDE DO SUL;6.53
2022;2;FEVEREIRO;GASOLINA ADITIVADA;SC;SANTA CATARINA;6.62
2022;2;FEVEREIRO;GASOLINA ADITIVADA;SE;SERGIPE;6.61
2022;2;FEVEREIRO;GASOLINA ADITIVADA;SP;SÃO PAULO;6.52
2022;2;FEVEREIRO;GASOLINA ADITIVADA;TO;TOCANTINS;6.91
2022;2;FEVEREIRO;GNV;AL;ALAGOAS;4.9
2022;2;FEVEREIRO;GNV;AM;AMAZONAS;4.38
2022;2;FEVEREIRO;GNV;BA;BAHIA;4.05
2022;2;FEVEREIRO;GNV;CE;CEARÁ;4.88
2022;2;FEVEREIRO;GNV;DF;DISTRITO FEDERAL;6.82
2022;2;FEVEREIRO;GNV;ES;ESPIRITO SANTO;4.87
2022;2;FEVEREIRO;GNV;MG;MINAS GERAIS;4.84
2022;2;FEVEREIRO;GNV;MS;MATO GROSSO DO SUL;4.48
2022;2;FEVEREIRO;GNV;MT;MATO GROSSO;3.18
2022;2;FEVEREIRO;GNV;PB;PARAÍBA;5.12
2022;2;FEVEREIRO;GNV;PE;PERNAMBUCO;3.95
2022;2;FEVEREIRO;GNV;PR;PARANÁ;5.25
2022;2;FEVEREIRO;GNV;RJ;RIO DE JANEIRO;4.71
2022;2;FEVEREIRO;GNV;RS;RIO GRANDE DO SUL;5.76
2022;2;FEVEREIRO;GNV;SC;SANTA CATARINA;5.2
2022;2;FEVEREIRO;GNV;SE;SERGIPE;4.77
2022;2;FEVEREIRO;GNV;SP;SÃO PAULO;4.61
2022;3;MARÇO;DIESEL;AC;ACRE;7.07
2022;3;MARÇO;DIESEL;AL;ALAGOAS;6.71
2022;3;MARÇO;DIESEL;AM;AMAZONAS;6.44
2022;3;MARÇO;DIESEL;AP;AMAPÁ;6.01
2022;3;MARÇO;DIESEL;BA;BAHIA;6.64
2022;3;MARÇO;DIESEL;CE;CEARÁ;6.7
2022;3;MARÇO;DIESEL;DF;DISTRITO FEDERAL;6.35
2022;3;MARÇO;DIESEL;ES;ESPIRITO SANTO;5.92
2022;3;MARÇO;DIESEL;GO;GOIÁS;6.44
2022;3;MARÇO;DIESEL;MA;MARANHÃO;6.57
2022;3;MARÇO;DIESEL;MG;MINAS GERAIS;6.28
2022;3;MARÇO;DIESEL;MS;MATO GROSSO DO SUL;6.17
2022;3;MARÇO;DIESEL;MT;MATO GROSSO;6.52
2022;3;MARÇO;DIESEL;PA;PARÁ;6.7
2022;3;MARÇO;DIESEL;PB;PARAÍBA;6.37
2022;3;MARÇO;DIESEL;PE;PERNAMBUCO;6.17
2022;3;MARÇO;DIESEL;PI;PIAUÍ;6.56
2022;3;MARÇO;DIESEL;PR;PARANÁ;6.19
2022;3;MARÇO;DIESEL;RJ;RIO DE JANEIRO;6.2
2022;3;MARÇO;DIESEL;RO;RONDÔNIA;6.48
2022;3;MARÇO;DIESEL;RR;RORAIMA;6.43
2022;3;MARÇO;DIESEL;RS;RIO GRANDE DO SUL;6.13
2022;3;MARÇO;DIESEL;SC;SANTA CATARINA;6.08
2022;3;MARÇO;DIESEL;SE;SERGIPE;6.42
2022;3;MARÇO;DIESEL;SP;SÃO PAULO;6.16
2022;3;MARÇO;DIESEL;TO;TOCANTINS;6.46
2022;3;MARÇO;DIESEL S10;AC;ACRE;7.12
2022;3;MARÇO;DIESEL S10;AL;ALAGOAS;6.7
2022;3;MARÇO;DIESEL S10;AM;AMAZONAS;6.51
2022;3;MARÇO;DIESEL S10;AP;AMAPÁ;6.28
2022;3;MARÇO;DIESEL S10;BA;BAHIA;6.79
2022;3;MARÇO;DIESEL S10;CE;CEARÁ;6.59
2022;3;MARÇO;DIESEL S10;DF;DISTRITO FEDERAL;6.43
2022;3;MARÇO;DIESEL S10;ES;ESPIRITO SANTO;6.05
2022;3;MARÇO;DIESEL S10;GO;GOIÁS;6.57
2022;3;MARÇO;DIESEL S10;MA;MARANHÃO;6.6
2022;3;MARÇO;DIESEL S10;MG;MINAS GERAIS;6.38
2022;3;MARÇO;DIESEL S10;MS;MATO GROSSO DO SUL;6.29
2022;3;MARÇO;DIESEL S10;MT;MATO GROSSO;6.64
2022;3;MARÇO;DIESEL S10;PA;PARÁ;6.72
2022;3;MARÇO;DIESEL S10;PB;PARAÍBA;6.47
2022;3;MARÇO;DIESEL S10;PE;PERNAMBUCO;6.2
2022;3;MARÇO;DIESEL S10;PI;PIAUÍ;6.64
2022;3;MARÇO;DIESEL S10;PR;PARANÁ;6.27
2022;3;MARÇO;DIESEL S10;RJ;RIO DE JANEIRO;6.3
2022;3;MARÇO;DIESEL S10;RO;RONDÔNIA;6.52
2022;3;MARÇO;DIESEL S10;RR;RORAIMA;6.48
2022;3;MARÇO;DIESEL S10;RS;RIO GRANDE DO SUL;6.21
2022;3;MARÇO;DIESEL S10;SC;SANTA CATARINA;6.19
2022;3;MARÇO;DIESEL S10;SE;SERGIPE;6.46
2022;3;MARÇO;DIESEL S10;SP;SÃO PAULO;6.27
2022;3;MARÇO;DIESEL S10;TO;TOCANTINS;6.5
2022;3;MARÇO;ETANOL;AC;ACRE;6.15
2022;3;MARÇO;ETANOL;AL;ALAGOAS;5.42
2022;3;MARÇO;ETANOL;AM;AMAZONAS;5.44
2022;3;MARÇO;ETANOL;AP;AMAPÁ;6.29
2022;3;MARÇO;ETANOL;BA;BAHIA;5.5
2022;3;MARÇO;ETANOL;CE;CEARÁ;5.83
2022;3;MARÇO;ETANOL;DF;DISTRITO FEDERAL;5.58
2022;3;MARÇO;ETANOL;ES;ESPIRITO SANTO;5.64
2022;3;MARÇO;ETANOL;GO;GOIÁS;4.85
2022;3;MARÇO;ETANOL;MA;MARANHÃO;5.79
2022;3;MARÇO;ETANOL;MG;MINAS GERAIS;4.98
2022;3;MARÇO;ETANOL;MS;MATO GROSSO DO SUL;5.08
2022;3;MARÇO;ETANOL;MT;MATO GROSSO;4.61
2022;3;MARÇO;ETANOL;PA;PARÁ;6.12
2022;3;MARÇO;ETANOL;PB;PARAÍBA;5.16
2022;3;MARÇO;ETANOL;PE;PERNAMBUCO;5.35
2022;3;MARÇO;ETANOL;PI;PIAUÍ;5.67
2022;3;MARÇO;ETANOL;PR;PARANÁ;5.07
2022;3;MARÇO;ETANOL;RJ;RIO DE JANEIRO;5.88
2022;3;MARÇO;ETANOL;RO;RONDÔNIA;6.09
2022;3;MARÇO;ETANOL;RR;RORAIMA;6.12
2022;3;MARÇO;ETANOL;RS;RIO GRANDE DO SUL;6.26
2022;3;MARÇO;ETANOL;SC;SANTA CATARINA;5.94
2022;3;MARÇO;ETANOL;SE;SERGIPE;5.37
2022;3;MARÇO;ETANOL;SP;SÃO PAULO;4.58
2022;3;MARÇO;ETANOL;TO;TOCANTINS;5.8
2022;3;MARÇO;GASOLINA;AC;ACRE;7.37
2022;3;MARÇO;GASOLINA;AL;ALAGOAS;7.18
2022;3;MARÇO;GASOLINA;AM;AMAZONAS;7.28
2022;3;MARÇO;GASOLINA;AP;AMAPÁ;6.11
2022;3;MARÇO;GASOLINA;BA;BAHIA;7.43
2022;3;MARÇO;GASOLINA;CE;CEARÁ;7.21
2022;3;MARÇO;GASOLINA;DF;DISTRITO FEDERAL;7.13
2022;3;MARÇO;GASOLINA;ES;ESPIRITO SANTO;7.11
2022;3;MARÇO;GASOLINA;GO;GOIÁS;7.23
2022;3;MARÇO;GASOLINA;MA;MARANHÃO;7.08
