ANO;MES;NM_MES;REGIAO - SIGLA;ESTADO - SIGLA;NM_ESTADO;MUNICIPIO;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;N;RO;RONDÔNIA;CACOAL;DIESEL S10;5.78
2022;1;JANEIRO;N;RO;RONDÔNIA;CACOAL;ETANOL;6.55
2022;1;JANEIRO;N;RO;RONDÔNIA;CACOAL;GASOLINA;7.07
2022;1;JANEIRO;N;RO;RONDÔNIA;CACOAL;GASOLINA ADITIVADA;7.13
2022;1;JANEIRO;N;RO;RONDÔNIA;PIMENTA BUENO;DIESEL;5.94
2022;1;JANEIRO;N;RO;RONDÔNIA;PIMENTA BUENO;DIESEL S10;5.94
2022;1;JANEIRO;N;RO;RONDÔNIA;PIMENTA BUENO;ETANOL;6.69
2022;1;JANEIRO;N;RO;RONDÔNIA;PIMENTA BUENO;GASOLINA;7.18
2022;1;JANEIRO;N;RO;RONDÔNIA;PIMENTA BUENO;GASOLINA ADITIVADA;7.25
2022;1;JANEIRO;N;RO;RONDÔNIA;PORTO VELHO;DIESEL;5.77
2022;1;JANEIRO;N;RO;RONDÔNIA;PORTO VELHO;DIESEL S10;5.81
2022;1;JANEIRO;N;RO;RONDÔNIA;PORTO VELHO;ETANOL;5.98
2022;1;JANEIRO;N;RO;RONDÔNIA;PORTO VELHO;GASOLINA;6.66
2022;1;JANEIRO;N;RO;RONDÔNIA;PORTO VELHO;GASOLINA ADITIVADA;6.79
2022;1;JANEIRO;N;RO;RONDÔNIA;VILHENA;DIESEL;5.96
2022;1;JANEIRO;N;RO;RONDÔNIA;VILHENA;DIESEL S10;6.02
2022;1;JANEIRO;N;RO;RONDÔNIA;VILHENA;ETANOL;5.72
2022;1;JANEIRO;N;RO;RONDÔNIA;VILHENA;GASOLINA;6.79
2022;1;JANEIRO;N;RO;RONDÔNIA;VILHENA;GASOLINA ADITIVADA;6.84
2022;1;JANEIRO;N;RR;RORAIMA;BOA VISTA;DIESEL;5.77
2022;1;JANEIRO;N;RR;RORAIMA;BOA VISTA;DIESEL S10;5.81
2022;1;JANEIRO;N;RR;RORAIMA;BOA VISTA;ETANOL;6.14
2022;1;JANEIRO;N;RR;RORAIMA;BOA VISTA;GASOLINA;6.45
2022;1;JANEIRO;N;RR;RORAIMA;BOA VISTA;GASOLINA ADITIVADA;6.57
2022;1;JANEIRO;N;TO;TOCANTINS;ARAGUAINA;DIESEL;5.52
2022;1;JANEIRO;N;TO;TOCANTINS;ARAGUAINA;DIESEL S10;5.45
2022;1;JANEIRO;N;TO;TOCANTINS;ARAGUAINA;ETANOL;5.98
2022;1;JANEIRO;N;TO;TOCANTINS;ARAGUAINA;GASOLINA;6.99
2022;1;JANEIRO;N;TO;TOCANTINS;ARAGUAINA;GASOLINA ADITIVADA;7.06
2022;1;JANEIRO;N;TO;TOCANTINS;GURUPI;DIESEL;5.56
2022;1;JANEIRO;N;TO;TOCANTINS;GURUPI;DIESEL S10;5.61
2022;1;JANEIRO;N;TO;TOCANTINS;GURUPI;ETANOL;5.83
2022;1;JANEIRO;N;TO;TOCANTINS;GURUPI;GASOLINA;6.92
2022;1;JANEIRO;N;TO;TOCANTINS;GURUPI;GASOLINA ADITIVADA;7.06
2022;1;JANEIRO;N;TO;TOCANTINS;PALMAS;DIESEL;5.48
2022;1;JANEIRO;N;TO;TOCANTINS;PALMAS;DIESEL S10;5.51
2022;1;JANEIRO;N;TO;TOCANTINS;PALMAS;ETANOL;5.79
2022;1;JANEIRO;N;TO;TOCANTINS;PALMAS;GASOLINA;6.81
2022;1;JANEIRO;N;TO;TOCANTINS;PALMAS;GASOLINA ADITIVADA;6.92
2022;1;JANEIRO;N;TO;TOCANTINS;PORTO NACIONAL;DIESEL;5.57
2022;1;JANEIRO;N;TO;TOCANTINS;PORTO NACIONAL;DIESEL S10;5.5
2022;1;JANEIRO;N;TO;TOCANTINS;PORTO NACIONAL;ETANOL;6.03
2022;1;JANEIRO;N;TO;TOCANTINS;PORTO NACIONAL;GASOLINA;6.76
2022;1;JANEIRO;N;TO;TOCANTINS;PORTO NACIONAL;GASOLINA ADITIVADA;6.84
2022;1;JANEIRO;NE;AL;ALAGOAS;ARAPIRACA;DIESEL;5.48
